"ii","Dim2","rr","Val"
"oil","fmp","USA",5.51432958673104E-6
"oil","fmp","ROW",0.0154485513970712
"oil","mvh","USA",3.8138165109558E-5
"oil","mvh","ROW",0.00122390482516721
"oil","otn","USA",1.06701929780684E-6
"oil","otn","ROW",0.00068742885514439
"oil","ele","USA",0.000241191650275141
"oil","ele","ROW",0.0551582244341944
"oil","ome","USA",6.34851749055088E-5
"oil","ome","ROW",0.04678500458499
"oil","omf","USA",1.10378914541798E-5
"oil","omf","ROW",0.100827805055246
"oil","ely","USA",0.00222725537605584
"oil","ely","ROW",11.1281574863125
"oil","wtr","USA",3.43210122082382E-5
"oil","wtr","ROW",0.00246253616069225
"oil","cns","USA",3.42410112352809E-6
"oil","cns","ROW",0.032633387699093
"oil","trd","USA",0.00264584692195058
"oil","trd","ROW",0.206485777349883
"oil","otp","USA",0.00128980597946793
"oil","otp","ROW",0.0191078120045631
"oil","wtp","ROW",0.00130878387255962
"oil","atp","ROW",0.00035711860181209
"oil","cmn","ROW",0.00574001891322951
"oil","ofi","USA",5.42261768714525E-5
"oil","ofi","ROW",0.00310097330952885
"oil","c","USA",5.8118712331634E-5
"oil","c","ROW",0.0849808000903067
"gas","isr","USA",0.0299913423950784
"gas","isr","ROW",0.0608293350411486
"gas","obs","USA",0.11621530726552
"gas","obs","ROW",19.3320397983915
"gas","ros","USA",0.0224287115270272
"gas","ros","ROW",1.90900265796188
"gas","osg","USA",0.907184345647693
"gas","osg","ROW",11.2517874033067
"gas","dwe","ROW",0.00477909200833437
"gas","pdr","USA",1.00378365459619E-5
"gas","pdr","ROW",0.0774044261546578
"gas","wht","USA",0.000591578005696647
"gas","wht","ROW",0.0786182842693961
"gas","gro","USA",0.00337274190678727
"gas","gro","ROW",0.165760384429063
"gas","v_f","USA",0.0014603999989049
"gas","v_f","ROW",1.14974323012336
"gas","osd","USA",0.00121795063751051
"gas","osd","ROW",0.0684443459914519
"gas","c_b","USA",0.000570521319787076
"gas","c_b","ROW",0.0285528761919522
"gas","pfb","USA",0.000520227607921697
"gas","pfb","ROW",0.075811620584318
"gas","ocr","USA",0.000100155084510334
"gas","ocr","ROW",0.840965730259654
"gas","ctl","USA",0.00136357659175701
"gas","ctl","ROW",0.0843601225113844
"gas","oap","USA",0.000420579026467749
"gas","oap","ROW",0.358188143945995
"gas","rmk","USA",0.000388126186408044
"gas","rmk","ROW",0.0859582934258469
"gas","wol","ROW",0.254754430240268
"gas","frs","USA",0.00138467281067278
"gas","frs","ROW",0.366115999878843
"gas","fsh","USA",0.000674160906783072
"gas","fsh","ROW",0.229187459940476
"gas","coa","USA",0.00403590584392077
"gas","coa","ROW",0.0362357428366522
"gas","oil","USA",2.34621533937752
"gas","oil","ROW",12.2774991501764
"gas","gas","USA",4.79287944367388
"gas","gas","ROW",25.5766070598257
"gas","omn","USA",0.00405552086886019
"gas","omn","ROW",3.46217079586324
"gas","cmt","USA",0.00778166804229841
"gas","cmt","ROW",0.280706631446833
"gas","omt","USA",0.00197670128545724
"gas","omt","ROW",0.554785729829064
"gas","vol","USA",0.00573625799734145
"gas","vol","ROW",0.740702146630838
"gas","mil","USA",0.00413797399960458
"gas","mil","ROW",1.52977675127045
"gas","pcr","USA",0.00118942342851369
"gas","pcr","ROW",0.226083930827372
"gas","sgr","USA",0.00198610752704553
"gas","sgr","ROW",0.189666356362864
"gas","ofd","USA",0.0546344993636012
"gas","ofd","ROW",10.0933590334485
"gas","b_t","USA",0.0157155706547201
"gas","b_t","ROW",1.34580375592736
"gas","tex","USA",0.00539673981256783
"gas","tex","ROW",2.35764299635457
"gas","wap","USA",0.00105969054857269
"gas","wap","ROW",0.597781249224568
"gas","lea","USA",0.000277602222013229
"gas","lea","ROW",0.300246422730424
"gas","lum","USA",0.0858967704698443
"gas","lum","ROW",0.927104745384668
"gas","ppp","USA",0.228118401020765
"gas","ppp","ROW",9.35431338535295
"gas","p_c","USA",45.2799964298028
"gas","p_c","ROW",49.7853338807774
"gas","crp","USA",16.7369526587427
"gas","crp","ROW",73.7564244567125
"gas","nmm","USA",0.146655711345375
"gas","nmm","ROW",20.0480454004842
"gas","i_s","USA",0.066686125472188
"gas","i_s","ROW",19.9459533142935
"gas","nfm","USA",0.112606730312109
"gas","nfm","ROW",5.67848140750596
"gas","fmp","USA",0.00904202344827354
"gas","fmp","ROW",2.22092760792475
"gas","mvh","USA",0.0496323355473578
"gas","mvh","ROW",3.08323025492496
"gas","otn","USA",0.0125998320872895
"gas","otn","ROW",0.774886877205631
"gas","ele","USA",0.130934871267527
"gas","ele","ROW",4.61029691949545
"gas","ome","USA",0.0845383387058973
"gas","ome","ROW",5.65553625155542
"gas","omf","USA",0.00439324032049626
"gas","omf","ROW",1.32436511721517
"gas","ely","USA",10.1932507827878
"gas","ely","ROW",326.37481104546
"gas","wtr","USA",0.018521009478718
"gas","wtr","ROW",1.63019350226796
"gas","cns","USA",0.0165987092186697
"gas","cns","ROW",2.52262208107754
"gas","trd","USA",1.30944339185953
"gas","trd","ROW",38.2541964240932
"gas","otp","USA",1.3981882892549
"gas","otp","ROW",14.3479225978289
"gas","wtp","USA",0.00155134241686028
"gas","wtp","ROW",0.477782712765702
"gas","atp","USA",0.0098184711750946
"gas","atp","ROW",0.614635998219001
"gas","cmn","USA",0.0208122708354495
"gas","cmn","ROW",0.329488376461313
"gas","ofi","USA",0.0290948527399451
"gas","ofi","ROW",0.269106514375835
"gas","c","USA",0.792305589886382
"gas","c","ROW",73.8214759484753
"gas","g","ROW",0.00148643806096516
