"ff","Dim2","rr","Val"
"cap","dwe","USA",0.0325212683319231
"cap","dwe","ROW",0.019341304777853
"cap","pdr","USA",-0.00349085739902422
"cap","pdr","ROW",-0.0415393081680826
"cap","wht","USA",-0.00500944946428161
"cap","wht","ROW",-0.0131096912381548
"cap","gro","USA",-0.00429517208171537
"cap","gro","ROW",-0.0227607628598603
"cap","v_f","USA",-0.00417905007527763
"cap","v_f","ROW",-0.040937367849112
"cap","osd","USA",-0.00299107520247743
"cap","osd","ROW",-0.0211782130280763
"cap","c_b","USA",-0.00486794390902956
"cap","c_b","ROW",-0.0181626533525575
"cap","pfb","USA",-0.00512915815995063
"cap","pfb","ROW",-0.0193462870277789
"cap","ocr","USA",-0.00462084130187457
"cap","ocr","ROW",-0.00683295327633611
"cap","ctl","USA",-0.00809103378968834
"cap","ctl","ROW",-0.066587334220005
"cap","oap","USA",0.00350531300832335
"cap","oap","ROW",-0.0420487770082866
"cap","rmk","USA",-0.00850789090037107
"cap","rmk","ROW",-0.0347066280357583
"cap","wol","ROW",-0.028759100129239
"cap","frs","USA",0.0325212215112829
"cap","frs","ROW",0.0117107739996365
"cap","fsh","USA",0.0325212198673515
"cap","fsh","ROW",0.00925026792428308
"cap","coa","USA",0.0325212421286665
"cap","coa","ROW",0.0101522216547013
"cap","oil","USA",0.0325211891693467
"cap","oil","ROW",0.0134188349124303
"cap","gas","USA",0.0325212133163352
"cap","gas","ROW",0.0142769182883678
"cap","omn","USA",0.0325212099152421
"cap","omn","ROW",0.0132730729728264
"cap","cmt","USA",0.0325212592222779
"cap","cmt","ROW",0.0155733325254325
"cap","omt","USA",0.0325211869328856
"cap","omt","ROW",0.0123443025803116
"cap","vol","USA",0.0325211768521989
"cap","vol","ROW",0.00958348738960702
"cap","mil","USA",0.0325212716356105
"cap","mil","ROW",0.0125969429269223
"cap","pcr","USA",0.0325212053604838
"cap","pcr","ROW",0.00861407077073806
"cap","sgr","USA",0.0325211432858772
"cap","sgr","ROW",0.0102261515747858
"cap","ofd","USA",0.0325212158498445
"cap","ofd","ROW",0.0145844124081696
"cap","b_t","USA",0.0325212092962464
"cap","b_t","ROW",0.0156787310591372
"cap","tex","USA",0.032521198553306
"cap","tex","ROW",0.00820025375661918
"cap","wap","USA",0.0325212600193752
"cap","wap","ROW",0.0103391911471692
"cap","lea","USA",0.0325212223027853
"cap","lea","ROW",0.00800437385304914
"cap","lum","USA",0.0325211675397175
"cap","lum","ROW",0.0123091695088084
"cap","ppp","USA",0.032521196199899
"cap","ppp","ROW",0.0165859837297806
"cap","p_c","USA",0.0325212364056746
"cap","p_c","ROW",0.0120701929883288
"cap","crp","USA",0.0325211804535437
"cap","crp","ROW",0.0124224842714312
"cap","nmm","USA",0.0325212299468858
"cap","nmm","ROW",0.00949931836897268
"cap","i_s","USA",0.0325212596762023
"cap","i_s","ROW",0.0111625141680087
"cap","nfm","USA",0.0325211955675235
"cap","nfm","ROW",0.011841562563619
"cap","fmp","USA",0.0325212221349904
"cap","fmp","ROW",0.0126596385673048
"cap","mvh","USA",0.0325212321100135
"cap","mvh","ROW",0.0125115101111347
"cap","otn","USA",0.0325211368842795
"cap","otn","ROW",0.0136278818547712
"cap","ele","USA",0.0325212362472329
"cap","ele","ROW",0.0100858642417208
"cap","ome","USA",0.0325211926285895
"cap","ome","ROW",0.0116000405959399
"cap","omf","USA",0.0325212152670415
"cap","omf","ROW",0.00813919128774192
"cap","ely","USA",0.0325211608252511
"cap","ely","ROW",0.0164576744525355
"cap","wtr","USA",0.0325212335728553
"cap","wtr","ROW",0.0178125910219174
"cap","cns","USA",0.0325211678168662
"cap","cns","ROW",0.0148668286600213
"cap","trd","USA",0.0325211941709993
"cap","trd","ROW",0.0152724784411888
"cap","otp","USA",0.0325212068736012
"cap","otp","ROW",0.0128846963369095
"cap","wtp","USA",0.0325212655885669
"cap","wtp","ROW",0.0113140647221064
"cap","atp","USA",0.0325212015789025
"cap","atp","ROW",0.0145109368742051
"cap","cmn","USA",0.0325212372597579
"cap","cmn","ROW",0.0153055614712897
"cap","ofi","USA",0.0325212309329075
"cap","ofi","ROW",0.0142715282890491
"fix","frs","USA",0.0325211965430838
"fix","frs","ROW",0.0116533137036774
"fix","fsh","USA",0.032521204047979
"fix","fsh","ROW",0.00829514729967715
"fix","coa","USA",0.0325211894884117
"fix","coa","ROW",0.00965584422635683
"fix","oil","USA",0.0325211963376466
"fix","oil","ROW",0.0141452201632973
"fix","gas","USA",0.0325212333411298
"fix","gas","ROW",0.0158757245815309
"fix","omn","USA",0.0325211498024742
"fix","omn","ROW",0.0116600619879428
