"ii","Dim2","rr","Val"
"isr","isr","USA",142.341734375
"isr","isr","ROW",85.9963226640113
"isr","obs","USA",5.57391833171965
"isr","obs","ROW",37.3543827605204
"isr","ros","USA",7.98109724885114
"isr","ros","ROW",7.07248268705747
"isr","osg","USA",16.3943409884265
"isr","osg","ROW",35.3809608711639
"isr","dwe","USA",10.4952208154068
"isr","dwe","ROW",12.2163630515616
"isr","pdr","USA",0.0127088425904641
"isr","pdr","ROW",0.343942329606895
"isr","wht","USA",0.105797543045603
"isr","wht","ROW",0.641502711286089
"isr","gro","USA",0.341191509617508
"isr","gro","ROW",0.639772991213574
"isr","v_f","USA",0.2786276551346
"isr","v_f","ROW",1.50385830080951
"isr","osd","USA",0.190698006460137
"isr","osd","ROW",0.387396887862897
"isr","c_b","USA",0.0201088050515749
"isr","c_b","ROW",0.158518023700003
"isr","pfb","USA",0.0541746799056187
"isr","pfb","ROW",0.174772877937835
"isr","ocr","USA",0.158457820464916
"isr","ocr","ROW",0.795398779108199
"isr","ctl","USA",0.292056029688563
"isr","ctl","ROW",0.838703988890459
"isr","oap","USA",0.268589633736651
"isr","oap","ROW",1.15620734065208
"isr","rmk","USA",0.179627538647921
"isr","rmk","ROW",0.722515547610831
"isr","wol","ROW",0.133409556554722
"isr","frs","USA",0.163836134317815
"isr","frs","ROW",0.608651226441136
"isr","fsh","USA",0.0800117710286709
"isr","fsh","ROW",1.20565529705657
"isr","coa","USA",0.281018496053686
"isr","coa","ROW",1.15277839407973
"isr","oil","USA",0.508440870278177
"isr","oil","ROW",3.08049651368846
"isr","gas","USA",0.343377059456567
"isr","gas","ROW",0.959603430961267
"isr","omn","USA",0.220759585995681
"isr","omn","ROW",2.92153991593749
"isr","cmt","USA",0.453546800267195
"isr","cmt","ROW",0.642842914148279
"isr","omt","USA",0.170957902956764
"isr","omt","ROW",0.55180441320466
"isr","vol","USA",0.0855957000040167
"isr","vol","ROW",0.37772884254121
"isr","mil","USA",0.290210811639708
"isr","mil","ROW",1.42762160932842
"isr","pcr","USA",0.0229789775870012
"isr","pcr","ROW",0.325495669237963
"isr","sgr","USA",0.0404855226112755
"isr","sgr","ROW",0.396964967941974
"isr","ofd","USA",1.01231993961987
"isr","ofd","ROW",4.66306275188723
"isr","b_t","USA",0.602362116262698
