"ii","jj","rr","ss","Val"
"otp","omf","ROW","ROW",2.22630782300445
"wtp","pdr","USA","ROW",0.0379227188417572
"wtp","pdr","ROW","USA",0.00453993976215133
"wtp","pdr","ROW","ROW",0.0116477138914052
"wtp","wht","USA","ROW",0.734934636819758
"wtp","wht","ROW","USA",0.0324146334243123
"wtp","wht","ROW","ROW",1.73597969823237
"wtp","gro","USA","ROW",1.3334415217014
"wtp","gro","ROW","USA",0.0405632573148469
"wtp","gro","ROW","ROW",1.36003346575866
"wtp","v_f","USA","ROW",0.654431946772966
"wtp","v_f","ROW","USA",2.34116633199388
"wtp","v_f","ROW","ROW",5.7407388834052
"wtp","osd","USA","ROW",4.13389888975402
"wtp","osd","ROW","USA",0.0370508850947954
"wtp","osd","ROW","ROW",5.52432249751156
"wtp","c_b","ROW","USA",5.82945009227842E-7
"wtp","c_b","ROW","ROW",3.01966886036098E-6
"wtp","pfb","USA","ROW",0.472075775313773
"wtp","pfb","ROW","USA",0.00167744656122522
"wtp","pfb","ROW","ROW",0.523774514674442
"wtp","ocr","USA","ROW",0.261448629349936
"wtp","ocr","ROW","USA",0.879957485770283
"wtp","ocr","ROW","ROW",2.13654882453411
"wtp","ctl","USA","ROW",0.00394147284410428
"wtp","ctl","ROW","USA",0.000699303167697508
"wtp","ctl","ROW","ROW",0.0674522639146308
"wtp","oap","USA","ROW",0.156238962814794
"wtp","oap","ROW","USA",0.0768727950582979
"wtp","oap","ROW","ROW",0.368317402921152
"wtp","wol","ROW","USA",0.00043623144493904
"wtp","wol","ROW","ROW",0.0912996578370221
"wtp","frs","USA","ROW",0.218945292923075
"wtp","frs","ROW","USA",0.0509986914945766
"wtp","frs","ROW","ROW",1.31528455057856
"wtp","fsh","USA","ROW",0.0777706016462179
"wtp","fsh","ROW","USA",0.041804565942788
"wtp","fsh","ROW","ROW",0.674893040016002
"wtp","coa","USA","ROW",0.996195770442602
"wtp","coa","ROW","USA",0.106760782345373
"wtp","coa","ROW","ROW",11.9713631563973
"wtp","oil","ROW","USA",10.876808495298
"wtp","oil","ROW","ROW",37.0623414677597
"wtp","gas","USA","ROW",0.139669750128174
"wtp","gas","ROW","USA",0.231987937843427
"wtp","gas","ROW","ROW",3.10981866837822
"wtp","omn","USA","ROW",1.93750296510663
"wtp","omn","ROW","USA",1.26606670155434
"wtp","omn","ROW","ROW",69.2068677651322
"wtp","cmt","USA","ROW",0.38031863118941
"wtp","cmt","ROW","USA",0.138851293511281
"wtp","cmt","ROW","ROW",0.714487900548615
"wtp","omt","USA","ROW",0.2082652073754
"wtp","omt","ROW","USA",0.0651685177471954
"wtp","omt","ROW","ROW",0.930454874463437
"wtp","vol","USA","ROW",0.516306369804312
"wtp","vol","ROW","USA",0.281834352891776
"wtp","vol","ROW","ROW",6.05835081465955
"wtp","mil","USA","ROW",0.189433319491102
"wtp","mil","ROW","USA",0.0852237625638955
"wtp","mil","ROW","ROW",1.30092677796405
"wtp","pcr","USA","ROW",0.179453229314764
"wtp","pcr","ROW","USA",0.0929149295953102
"wtp","pcr","ROW","ROW",1.32441816662409
"wtp","sgr","USA","ROW",0.0249694511294947
"wtp","sgr","ROW","USA",0.314571667645825
"wtp","sgr","ROW","ROW",2.49704417329805
"wtp","ofd","USA","ROW",1.35672893082059
"wtp","ofd","ROW","USA",2.46068871710228
"wtp","ofd","ROW","ROW",7.38733441289112
"wtp","b_t","USA","ROW",0.586262598047033
"wtp","b_t","ROW","USA",1.04446546731144
"wtp","b_t","ROW","ROW",2.42271073130879
"wtp","tex","USA","ROW",0.628339977712952
"wtp","tex","ROW","USA",2.61995352590253
"wtp","tex","ROW","ROW",9.6765485951902
"wtp","wap","USA","ROW",0.0520177349364967
"wtp","wap","ROW","USA",2.79078807764233
"wtp","wap","ROW","ROW",3.94979749957117
"wtp","lea","USA","ROW",0.0568552215772797
"wtp","lea","ROW","USA",1.87649916106946
"wtp","lea","ROW","ROW",2.91166845986328
"wtp","lum","USA","ROW",0.685441869224364
